Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",10,63.55,63.55,0.50,0.50,"MSVCP120D.dll",
"?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z",39,23.60,23.60,0.05,0.05,"MSVCP120D.dll",
"?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z",20,6.55,6.55,0.03,0.03,"MSVCP120D.dll",
"mainCRTStartup",1,99.98,1.88,7.92,0.15,"ConsoleApplication2.exe",
"_setdefaultprecision",1,0.48,0.48,0.04,0.04,"ConsoleApplication2.exe",
"__CxxSetUnhandledExceptionFilter",1,0.37,0.37,0.03,0.03,"ConsoleApplication2.exe",
"std::operator<<<std::char_traits<char> >",39,25.03,0.28,0.05,0.00,"ConsoleApplication2.exe",
"std::basic_ostream<char,std::char_traits<char> >::sentry::~sentry",49,0.74,0.25,0.00,0.00,"ConsoleApplication2.exe",
"__getmainargs",1,0.24,0.24,0.02,0.02,"MSVCR120D.dll",
"?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ",20,0.22,0.22,0.00,0.00,"MSVCP120D.dll",
"?uncaught_exception@std@@YA_NXZ",49,0.21,0.21,0.00,0.00,"MSVCP120D.dll",
"?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z",20,0.21,0.21,0.00,0.00,"MSVCP120D.dll",
"std::basic_ostream<char,std::char_traits<char> >::sentry::sentry",49,0.41,0.18,0.00,0.00,"ConsoleApplication2.exe",
"__tmainCRTStartup",1,98.09,0.17,7.78,0.01,"ConsoleApplication2.exe",
"?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ",245,0.14,0.14,0.00,0.00,"MSVCP120D.dll",
"??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",20,7.14,0.13,0.03,0.00,"MSVCP120D.dll",
"?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ",49,0.11,0.11,0.00,0.00,"MSVCP120D.dll",
"_RTC_CheckEsp","1,238",0.10,0.10,0.00,0.00,"ConsoleApplication2.exe",
"_onexit",4,0.09,0.09,0.00,0.00,"MSVCR120D.dll",
"`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.12,0.09,0.01,0.01,"ConsoleApplication2.exe",
"exit",1,0.10,0.09,0.01,0.01,"MSVCR120D.dll",
"std::operator<<<std::char_traits<char> >",10,63.99,0.09,0.51,0.00,"ConsoleApplication2.exe",
"[MSVCP120D.dll]",49,0.08,0.08,0.00,0.00,"MSVCP120D.dll",
"[MSVCP120D.dll]",49,0.06,0.06,0.00,0.00,"MSVCP120D.dll",
"?good@ios_base@std@@QBE_NXZ",98,0.06,0.06,0.00,0.00,"MSVCP120D.dll",
"String_Buffer::print",6,25.08,0.05,0.33,0.00,"ConsoleApplication2.exe",
"String_Buffer::append",7,0.09,0.05,0.00,0.00,"ConsoleApplication2.exe",
"?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z",49,0.05,0.05,0.00,0.00,"MSVCP120D.dll",
"operator new[]",8,0.05,0.05,0.00,0.00,"ConsoleApplication2.exe",
"std::endl<char,std::char_traits<char> >",20,7.02,0.05,0.03,0.00,"ConsoleApplication2.exe",
"?width@ios_base@std@@QAE_J_J@Z",49,0.04,0.04,0.00,0.00,"MSVCP120D.dll",
"?width@ios_base@std@@QBE_JXZ",49,0.04,0.04,0.00,0.00,"MSVCP120D.dll",
"String_Buffer::~String_Buffer",1,0.04,0.04,0.00,0.00,"ConsoleApplication2.exe",
"String_Buffer::load_string",1,0.05,0.04,0.00,0.00,"ConsoleApplication2.exe",
"?tie@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_ostream@DU?$char_traits@D@std@@@2@XZ",49,0.03,0.03,0.00,0.00,"MSVCP120D.dll",
"String::String",1,0.08,0.03,0.01,0.00,"ConsoleApplication2.exe",
"std::char_traits<char>::length",10,0.03,0.03,0.00,0.00,"ConsoleApplication2.exe",
"?flags@ios_base@std@@QBEHXZ",49,0.03,0.03,0.00,0.00,"MSVCP120D.dll",
"main",1,96.47,0.03,7.65,0.00,"ConsoleApplication2.exe",
"RtlEncodePointer",1,0.02,0.02,0.00,0.00,"ntdll.dll",
"std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::_Sentry_base",49,0.13,0.02,0.00,0.00,"ConsoleApplication2.exe",
"std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::~_Sentry_base",49,0.17,0.02,0.00,0.00,"ConsoleApplication2.exe",
"std::char_traits<char>::eof",39,0.02,0.02,0.00,0.00,"ConsoleApplication2.exe",
"RtlDecodePointer",4,0.02,0.02,0.00,0.00,"ntdll.dll",
"std::char_traits<char>::eq_int_type",39,0.02,0.02,0.00,0.00,"ConsoleApplication2.exe",
"std::basic_ostream<char,std::char_traits<char> >::sentry::operator bool",49,0.02,0.02,0.00,0.00,"ConsoleApplication2.exe",
"String::print",6,25.09,0.01,0.33,0.00,"ConsoleApplication2.exe",
"__security_init_cookie",1,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"std::_Generic_error_category::_Generic_error_category",3,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"String_Buffer::allocate",1,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"String::append",7,0.10,0.00,0.00,0.00,"ConsoleApplication2.exe",
"pre_c_init",1,0.51,0.00,0.04,0.00,"ConsoleApplication2.exe",
"_RTC_CheckStackVars",50,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"String_Buffer::`scalar deleting destructor'",1,0.04,0.00,0.00,0.00,"ConsoleApplication2.exe",
"check_managed_app",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_Iostream_error_category::_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"__set_app_type",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"std::error_category::error_category",3,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_Generic_error_category::~_Generic_error_category",3,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"String::~String",2,0.04,0.00,0.00,0.00,"ConsoleApplication2.exe",
"_CrtSetCheckCount",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_System_error_category::~_System_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_System_error_category::_System_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_Iostream_error_category::~_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"__atonexitinit",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"atexit",4,0.11,0.00,0.00,0.00,"ConsoleApplication2.exe",
"`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::error_category::~error_category",3,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"pre_cpp_init",1,0.29,0.00,0.02,0.00,"ConsoleApplication2.exe",
"String_Buffer::String_Buffer",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::`dynamic initializer for 'piecewise_construct''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"_onexit",4,0.11,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::`dynamic initializer for 'allocator_arg''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"String::String",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"_RTC_Initialize",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"_invoke_watson_if_error",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"_RTC_Terminate",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
